week_ending,region_code,contract_code,contract_name,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,pct_answered_60s,pct_abandoned,meets_60s_target
2025-11-30,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",7737,6800,4337,7012,6568,63.8,50.8,0
2025-11-30,South West,111AL2,Devon (PPG),9449,8389,5921,8636,7505,70.6,50.7,0
2025-11-30,South West,111AL3,Cornwall (HUC),4080,3943,3233,4080,3388,82.0,50.9,0
2025-11-30,South West,111AL5,Somerset (HUC),4167,3995,3087,4167,3352,77.3,51.1,0
2025-11-30,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",7931,7045,4826,7318,6743,68.5,51.0,0
2025-11-30,South West,111AL8,Gloucestershire (Trust/IC24),4847,4548,3533,4683,4464,77.7,50.7,0
2025-12-07,East of England,111AC5,Cambridgeshire and Peterborough,8222,7880,5932,8222,6189,75.3,51.1,0
2025-12-07,East of England,111AC7,Milton Keynes,2025,2004,1743,2025,1855,87.0,50.3,0
2025-12-07,East of England,111AG7,Luton and Bedfordshire,6052,5786,4429,6052,4930,76.5,51.1,0
2025-12-07,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,7950,7131,5107,7620,7226,71.6,51.7,0
2025-12-07,East of England,111AH4,Mid & South Essex,9647,8608,5965,9182,8066,69.3,51.6,0
2025-12-07,East of England,111AH7,North East Essex & Suffolk,8257,7123,4441,7414,6225,62.3,51.0,0
2025-12-07,East of England,111AM1,West Essex & Hertfordshire,10721,10358,7807,10721,9423,75.4,50.9,0
2025-12-07,London,111AD7,South East London,12175,11464,8407,11878,10371,73.3,50.9,0
2025-12-07,London,111AH5,North East London,16737,15824,11231,16410,16096,71.0,50.9,0
2025-12-07,London,111AJ1,North West London,13807,12841,8460,13385,12505,65.9,51.0,0
2025-12-07,London,111AK9,South West London (PPG),10470,9902,6285,10215,10197,63.5,50.8,0
2025-12-07,London,111AL9,North Central London (LAS),9806,8984,5926,9432,8193,66.0,51.2,0
2025-12-07,Midlands,111AL7,Midlands,83150,81880,70092,83150,77080,85.6,50.4,0
2025-12-07,North East and Yorkshire,111AA1,North East,27228,22875,17487,24539,20528,76.4,51.8,0
2025-12-07,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),51174,42942,25315,47523,39327,59.0,52.5,0
2025-12-07,North West,111AJ3,North West including Blackpool (ML CSU),48278,42563,17820,48278,41238,41.9,53.1,0
2025-12-07,South East,111AA6,Isle of Wight,2149,1678,1178,1859,1660,70.2,52.6,0
2025-12-07,South East,111AG9,Thames Valley,19340,16873,6107,19340,15593,36.2,53.4,0
2025-12-07,South East,111AH9,Hampshire and Surrey Heath,16013,14130,5606,16013,12911,39.7,53.1,0
2025-12-07,South East,111AI2,Surrey Heartlands,7342,6162,3897,6438,5396,63.2,51.1,0
2025-12-07,South East,111AI9,"Kent, Medway & Sussex",27225,22527,12763,24637,21936,56.7,52.2,0
2025-12-07,South West,111AI4,Dorset (DHC),7365,6227,5027,6397,6210,80.7,50.7,0
2025-12-07,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",8641,7596,4275,7857,7322,56.3,50.8,0
2025-12-07,South West,111AL2,Devon (PPG),10176,8804,5803,9093,7855,65.9,50.8,0
2025-12-07,South West,111AL3,Cornwall (HUC),4425,4294,3370,4425,3837,78.5,50.8,0
2025-12-07,South West,111AL5,Somerset (HUC),4490,4305,3191,4490,3601,74.1,51.1,0
2025-12-07,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",8276,7294,4507,7587,7026,61.8,51.0,0
2025-12-07,South West,111AL8,Gloucestershire (Trust/IC24),5108,4574,3152,4889,4151,68.9,51.7,0
2025-12-14,East of England,111AC5,Cambridgeshire and Peterborough,7967,7753,6550,7967,6162,84.5,50.7,0
2025-12-14,East of England,111AC7,Milton Keynes,1858,1845,1711,1858,1762,92.7,50.2,0
2025-12-14,East of England,111AG7,Luton and Bedfordshire,6183,6013,5112,6183,5094,85.0,50.7,0
2025-12-14,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,7746,7062,4941,7420,7084,70.0,51.2,0
2025-12-14,East of England,111AH4,Mid & South Essex,9475,8719,6009,9127,8246,68.9,51.1,0
2025-12-14,East of England,111AH7,North East Essex & Suffolk,8082,7226,5399,7388,6421,74.7,50.6,0
2025-12-14,East of England,111AM1,West Essex & Hertfordshire,10350,10109,8629,10350,9505,85.4,50.6,0
2025-12-14,London,111AD7,South East London,11932,11358,9391,11630,10493,82.7,50.6,0
2025-12-14,London,111AH5,North East London,16643,15926,13010,16318,16244,81.7,50.6,0
2025-12-14,London,111AJ1,North West London,13968,13213,10040,13583,12778,76.0,50.7,0
2025-12-14,London,111AK9,South West London (PPG),9919,9491,6971,9694,9793,73.4,50.5,0
